Time,Average(A)
(us),(V)
4.55970036,-1.459033
4.56370036,-1.467589
4.56770035,-1.476067
4.57170035,-1.484456
4.57570035,-1.492768
4.57970035,-1.501002
4.58370035,-1.50915
4.58770035,-1.517211
4.59170035,-1.525193
4.59570035,-1.533088
4.59970035,-1.540901
4.60370035,-1.548633
4.60770035,-1.556276
4.61170035,-1.563838
4.61570035,-1.571318
4.61970035,-1.57871
4.62370035,-1.586019
4.62770035,-1.593243
4.63170035,-1.600384
4.63570035,-1.607441
4.63970035,-1.614415
4.64370035,-1.621303
4.64770035,-1.628106
4.65170035,-1.634826
4.65570035,-1.641464
4.65970035,-1.648014
4.66370035,-1.654482
4.66770035,-1.660867
4.67170035,-1.667169
4.67570035,-1.673388
4.67970035,-1.67953
4.68370035,-1.685596
4.68770035,-1.691577
4.69170035,-1.697488
4.69570035,-1.703322
4.69970035,-1.709081
4.70370035,-1.714763
4.70770035,-1.720371
4.71170035,-1.72591
4.71570035,-1.731373
4.71970035,-1.736767
4.72370035,-1.742085
4.72770035,-1.747334
4.73170035,-1.75251
4.73570035,-1.757625
4.73970035,-1.762663
4.74370035,-1.767633
4.74770035,-1.772535
4.75170035,-1.777367
4.75570035,-1.782125
4.75970035,-1.786817
4.76370035,-1.791435
4.76770035,-1.795982
4.77170035,-1.800462
4.77570035,-1.804869
4.77970035,-1.809203
